train_loss,epoch,step,val_loss,val_acc,train_acc
2.0532546043395996,0,49,,,
1.3470155000686646,0,99,,,
0.5733935832977295,0,149,,,
0.6313239336013794,0,199,,,
0.5459214448928833,0,249,,,
0.4755193591117859,0,299,,,
0.5115627646446228,0,349,,,
0.4744621217250824,0,399,,,
0.4357023537158966,0,449,,,
0.36384981870651245,0,499,,,
0.42933300137519836,0,549,,,
0.40265408158302307,0,599,,,
0.384859174489975,0,649,,,
0.5276262760162354,0,699,,,
0.29784873127937317,0,749,,,
0.19421112537384033,0,799,,,
0.36289042234420776,0,849,,,
,0,858,0.3096467852592468,0.9092000126838684,
,0,858,,,0.8158650994300842
0.25869426131248474,1,899,,,
0.14057354629039764,1,949,,,
0.22237040102481842,1,999,,,
0.3849063515663147,1,1049,,,
0.1534920632839203,1,1099,,,
0.23576359450817108,1,1149,,,
0.20491114258766174,1,1199,,,
0.26047369837760925,1,1249,,,
0.12743008136749268,1,1299,,,
0.15521293878555298,1,1349,,,
0.181419238448143,1,1399,,,
0.11593395471572876,1,1449,,,
0.1236940398812294,1,1499,,,
0.20541898906230927,1,1549,,,
0.17456106841564178,1,1599,,,
0.16940896213054657,1,1649,,,
0.18194323778152466,1,1699,,,
,1,1717,0.2056838870048523,0.9408000111579895,
,1,1717,,,0.9295328855514526
0.21428993344306946,2,1749,,,
0.17422273755073547,2,1799,,,
0.34261274337768555,2,1849,,,
0.3832843601703644,2,1899,,,
0.09231433272361755,2,1949,,,
0.16476945579051971,2,1999,,,
0.19717063009738922,2,2049,,,
0.06079908832907677,2,2099,,,
0.22801163792610168,2,2149,,,
0.24440895020961761,2,2199,,,
0.12343897670507431,2,2249,,,
0.09914372861385345,2,2299,,,
0.25213301181793213,2,2349,,,
0.1827557384967804,2,2399,,,
0.10033630579710007,2,2449,,,
0.11225208640098572,2,2499,,,
0.14476275444030762,2,2549,,,
,2,2576,0.17332994937896729,0.9491999745368958,
,2,2576,,,0.9489959478378296
0.06656171381473541,3,2599,,,
0.2620777487754822,3,2649,,,
0.13261911273002625,3,2699,,,
0.06998126953840256,3,2749,,,
0.03601955622434616,3,2799,,,
0.19023875892162323,3,2849,,,
0.12380605936050415,3,2899,,,
0.2807358205318451,3,2949,,,
0.16749441623687744,3,2999,,,
0.13314177095890045,3,3049,,,
0.11765389144420624,3,3099,,,
0.11546841263771057,3,3149,,,
0.08169874548912048,3,3199,,,
0.07185065746307373,3,3249,,,
0.16475123167037964,3,3299,,,
0.160466268658638,3,3349,,,
0.06107739731669426,3,3399,,,
,3,3435,0.13912123441696167,0.9589999914169312,
,3,3435,,,0.9604008793830872
0.07360810786485672,4,3449,,,
0.06525883823633194,4,3499,,,
0.14213433861732483,4,3549,,,
0.09658385068178177,4,3599,,,
0.09037841856479645,4,3649,,,
0.1272781938314438,4,3699,,,
0.03636527433991432,4,3749,,,
0.103151835501194,4,3799,,,
0.08682844042778015,4,3849,,,
0.029159843921661377,4,3899,,,
0.11101505905389786,4,3949,,,
0.06300848722457886,4,3999,,,
0.029593992978334427,4,4049,,,
0.09369078278541565,4,4099,,,
0.07927060127258301,4,4149,,,
0.06764079630374908,4,4199,,,
0.15337714552879333,4,4249,,,
,4,4294,0.12611953914165497,0.9610000252723694,
,4,4294,,,0.9649301767349243
0.042775336652994156,5,4299,,,
0.014065701514482498,5,4349,,,
0.035262446850538254,5,4399,,,
0.053222037851810455,5,4449,,,
0.1727154701948166,5,4499,,,
0.11476896703243256,5,4549,,,
0.10046090930700302,5,4599,,,
0.14800941944122314,5,4649,,,
0.09709760546684265,5,4699,,,
0.09252489358186722,5,4749,,,
0.0421929657459259,5,4799,,,
0.1526453047990799,5,4849,,,
0.03207555413246155,5,4899,,,
0.21043799817562103,5,4949,,,
0.26727014780044556,5,4999,,,
0.03271478787064552,5,5049,,,
0.09687604755163193,5,5099,,,
0.1285286843776703,5,5149,,,
,5,5153,0.11495213955640793,0.9656000137329102,
,5,5153,,,0.9699869155883789
0.08857214450836182,6,5199,,,
0.07269738614559174,6,5249,,,
0.038460031151771545,6,5299,,,
0.017387395724654198,6,5349,,,
0.043951671570539474,6,5399,,,
0.1625230610370636,6,5449,,,
0.0898701474070549,6,5499,,,
0.18386784195899963,6,5549,,,
0.04577624052762985,6,5599,,,
0.04220791161060333,6,5649,,,
0.20913676917552948,6,5699,,,
0.18732155859470367,6,5749,,,
0.09632028639316559,6,5799,,,
0.009601924568414688,6,5849,,,
0.06142803654074669,6,5899,,,
0.1859872043132782,6,5949,,,
0.040672145783901215,6,5999,,,
,6,6012,0.11513125151395798,0.9642000198364258,
,6,6012,,,0.9741523861885071
0.05992511287331581,7,6049,,,
0.06479717791080475,7,6099,,,
0.06833776831626892,7,6149,,,
0.06871014088392258,7,6199,,,
0.1699323058128357,7,6249,,,
0.12451278418302536,7,6299,,,
0.1555764079093933,7,6349,,,
0.0586698092520237,7,6399,,,
0.06179778650403023,7,6449,,,
0.03159405291080475,7,6499,,,
0.08010435104370117,7,6549,,,
0.046816352754831314,7,6599,,,
0.178908571600914,7,6649,,,
0.16399337351322174,7,6699,,,
0.039633650332689285,7,6749,,,
0.03400217369198799,7,6799,,,
0.03496800363063812,7,6849,,,
,7,6871,0.10469582676887512,0.9697999954223633,
,7,6871,,,0.9762805700302124
0.03468265384435654,8,6899,,,
0.01109926775097847,8,6949,,,
0.10902421176433563,8,6999,,,
0.12622413039207458,8,7049,,,
0.047591984272003174,8,7099,,,
0.04158993065357208,8,7149,,,
0.061507489532232285,8,7199,,,
0.054627932608127594,8,7249,,,
0.02531304955482483,8,7299,,,
0.045780520886182785,8,7349,,,
0.03693198040127754,8,7399,,,
0.05174573138356209,8,7449,,,
0.031345367431640625,8,7499,,,
0.1552867740392685,8,7549,,,
0.07928477972745895,8,7599,,,
0.05802775174379349,8,7649,,,
0.07708470523357391,8,7699,,,
,8,7730,0.10801760107278824,0.9679999947547913,
,8,7730,,,0.9795728921890259
0.12931448221206665,9,7749,,,
0.09418045729398727,9,7799,,,
0.10277338325977325,9,7849,,,
0.07763217389583588,9,7899,,,
0.08427143096923828,9,7949,,,
0.13725824654102325,9,7999,,,
0.027674779295921326,9,8049,,,
0.09507598727941513,9,8099,,,
0.01115008071064949,9,8149,,,
0.22775451838970184,9,8199,,,
0.10022838413715363,9,8249,,,
0.15029537677764893,9,8299,,,
0.05469600483775139,9,8349,,,
0.11843734979629517,9,8399,,,
0.09276048094034195,9,8449,,,
0.07742072641849518,9,8499,,,
0.09035937488079071,9,8549,,,
,9,8589,0.11257602274417877,0.9685999751091003,
,9,8589,,,0.9799185395240784
0.014132007025182247,10,8599,,,
0.05225362256169319,10,8649,,,
0.23401986062526703,10,8699,,,
0.07445679605007172,10,8749,,,
0.048200059682130814,10,8799,,,
0.05256113409996033,10,8849,,,
0.07705472409725189,10,8899,,,
0.010944560170173645,10,8949,,,
0.02475861646234989,10,8999,,,
0.04245638847351074,10,9049,,,
0.01277192123234272,10,9099,,,
0.05698135122656822,10,9149,,,
0.08853544294834137,10,9199,,,
0.030657578259706497,10,9249,,,
0.01940903440117836,10,9299,,,
0.0204320065677166,10,9349,,,
0.012891184538602829,10,9399,,,
,10,9448,0.09866398572921753,0.97079998254776,
,10,9448,,,0.9823377728462219
0.02304837480187416,11,9449,,,
0.049055442214012146,11,9499,,,
0.0430859737098217,11,9549,,,
0.02991277165710926,11,9599,,,
0.04227054864168167,11,9649,,,
0.11679713428020477,11,9699,,,
0.0992780327796936,11,9749,,,
0.09277551621198654,11,9799,,,
0.037204522639513016,11,9849,,,
0.04903845116496086,11,9899,,,
0.012794675305485725,11,9949,,,
0.0069013433530926704,11,9999,,,
0.05526522547006607,11,10049,,,
0.024359997361898422,11,10099,,,
0.019946280866861343,11,10149,,,
0.06046426668763161,11,10199,,,
0.047061216086149216,11,10249,,,
0.13232256472110748,11,10299,,,
,11,10307,0.0967932716012001,0.972000002861023,
,11,10307,,,0.983574628829956
0.034645333886146545,12,10349,,,
0.007335524540394545,12,10399,,,
0.026528628543019295,12,10449,,,
0.015620697289705276,12,10499,,,
0.04464343935251236,12,10549,,,
0.03416936472058296,12,10599,,,
0.06795649230480194,12,10649,,,
0.05108879506587982,12,10699,,,
0.0370575413107872,12,10749,,,
0.0144350565969944,12,10799,,,
0.011683410033583641,12,10849,,,
0.012253678403794765,12,10899,,,
0.01391393132507801,12,10949,,,
0.0799989253282547,12,10999,,,
0.03572056069970131,12,11049,,,
0.06592462956905365,12,11099,,,
0.0048485989682376385,12,11149,,,
,12,11166,0.12073694914579391,0.9656000137329102,
,12,11166,,,0.9844295978546143
0.01990445889532566,13,11199,,,
0.034722957760095596,13,11249,,,
0.05079256743192673,13,11299,,,
0.024563603103160858,13,11349,,,
0.015615223906934261,13,11399,,,
0.05198497325181961,13,11449,,,
0.014269674196839333,13,11499,,,
0.006656056735664606,13,11549,,,
0.0085779819637537,13,11599,,,
0.012605460360646248,13,11649,,,
0.035427920520305634,13,11699,,,
0.08466721326112747,13,11749,,,
0.01735062524676323,13,11799,,,
0.06246166303753853,13,11849,,,
0.0619591549038887,13,11899,,,
0.004082170780748129,13,11949,,,
0.041131265461444855,13,11999,,,
,13,12025,0.10601707547903061,0.9706000089645386,
,13,12025,,,0.9858665466308594
0.061034124344587326,14,12049,,,
0.018302300944924355,14,12099,,,
0.02261553518474102,14,12149,,,
0.005046945996582508,14,12199,,,
0.039854321628808975,14,12249,,,
0.005038796924054623,14,12299,,,
0.003571692854166031,14,12349,,,
0.011686611920595169,14,12399,,,
0.05669919401407242,14,12449,,,
0.0915650799870491,14,12499,,,
0.014893382787704468,14,12549,,,
0.03810906782746315,14,12599,,,
0.028924955055117607,14,12649,,,
0.026888271793723106,14,12699,,,
0.020069990307092667,14,12749,,,
0.009172960184514523,14,12799,,,
0.018838295713067055,14,12849,,,
,14,12884,0.10067862272262573,0.9697999954223633,
,14,12884,,,0.9871944189071655
